,Features,Importance
0,total_price_including_optional_support,0.5326095513324184
2,eligible_double_your_impact_match_binary,0.0737811459037348
1,students_reached,0.05520610534424411
41,school_metro_rural,0.028162357208491626
8,resource_type_Books,0.018685568934601007
5,poverty_level_highest poverty,0.0183504413186212
12,resource_type_Trips,0.017881824637542842
45,teacher_prefix_Mrs.,0.014145846325018757
81,school_state_NY,0.014032287885871762
43,school_metro_urban,0.013584498743344291
29,primary_focus_subject_Literacy,0.011665279210554358
22,primary_focus_subject_Environmental Science,0.010281548739076569
4,poverty_level_high poverty,0.010112020008656623
11,resource_type_Technology,0.009953445217933881
15,primary_focus_subject_Character Education,0.008739780769048437
87,school_state_SC,0.00862355182231786
3,school_charter_binary,0.008123251885752851
74,school_state_NC,0.007664916642862715
90,school_state_TX,0.006638450792326713
51,school_state_CA,0.0062707434677656436
56,school_state_FL,0.005709583858149156
14,primary_focus_subject_Applied Sciences,0.005403292338521046
32,primary_focus_subject_Music,0.00523266613335684
44,teacher_prefix_Mr.,0.004329090247611084
7,poverty_level_moderate poverty,0.0042711196197888135
78,school_state_NJ,0.0039029293441351282
40,primary_focus_subject_Visual Arts,0.0038917965830278247
46,teacher_prefix_Ms.,0.003858356687103448
42,school_metro_suburban,0.0038221023799079063
71,school_state_MO,0.0037916967418843905
10,resource_type_Supplies,0.003758787691464421
30,primary_focus_subject_Literature & Writing,0.0037338452766514847
61,school_state_IL,0.0036335882849901856
91,school_state_UT,0.003502129960851971
85,school_state_PA,0.003400251775277823
48,school_state_AL,0.0032658180423880087
54,school_state_DC,0.0029250891858686374
64,school_state_KY,0.0027523051206351
89,school_state_TN,0.0026842728260115653
25,primary_focus_subject_Gym & Fitness,0.0026432433071889487
66,school_state_MA,0.0025512197205444123
79,school_state_NM,0.002132718579528376
50,school_state_AZ,0.0021096117349725346
84,school_state_OR,0.0020323673375148323
82,school_state_OH,0.002028313367465153
83,school_state_OK,0.001974711506484316
28,primary_focus_subject_History & Geography,0.0018709321331472546
95,school_state_WI,0.0018293715604358503
34,primary_focus_subject_Other,0.0018197157269125694
31,primary_focus_subject_Mathematics,0.0016915704832697568
38,primary_focus_subject_Special Needs,0.0016875234552014141
52,school_state_CO,0.0016751683139573893
27,primary_focus_subject_Health & Wellness,0.0015887966410932956
6,poverty_level_low poverty,0.001533373381953238
62,school_state_IN,0.0015139949870688553
24,primary_focus_subject_Foreign Languages,0.0014889582110882687
9,resource_type_Other,0.0013085835016126259
26,primary_focus_subject_Health & Life Science,0.0012782214236620652
36,primary_focus_subject_Performing Arts,0.001189924571800081
17,primary_focus_subject_College & Career Prep,0.0011551737623723304
49,school_state_AR,0.0011501849336117947
88,school_state_SD,0.0011438084477596363
23,primary_focus_subject_Extracurricular,0.0010920552569212262
58,school_state_HI,0.0010761865318310308
69,school_state_MI,0.0010701099826777498
53,school_state_CT,0.0010083189613105262
19,primary_focus_subject_ESL,0.0009456192903800682
80,school_state_NV,0.0009082501460816537
77,school_state_NH,0.0008070907193139677
73,school_state_MT,0.0007994448156444783
59,school_state_IA,0.0007803821714768828
92,school_state_VA,0.0006799598658242829
57,school_state_GA,0.0006666348830735847
70,school_state_MN,0.0006296337261611601
67,school_state_MD,0.0005936034240441477
72,school_state_MS,0.0005884417515712772
94,school_state_WA,0.0005754430972335764
93,school_state_VT,0.0
86,school_state_RI,0.0
16,primary_focus_subject_Civics & Government,0.0
18,primary_focus_subject_Community Service,0.0
13,resource_type_Visitors,0.0
96,school_state_WV,0.0
20,primary_focus_subject_Early Development,0.0
60,school_state_ID,0.0
39,primary_focus_subject_Sports,0.0
21,primary_focus_subject_Economics,0.0
33,primary_focus_subject_Nutrition,0.0
35,primary_focus_subject_Parent Involvement,0.0
37,primary_focus_subject_Social Sciences,0.0
47,school_state_AK,0.0
76,school_state_NE,0.0
75,school_state_ND,0.0
55,school_state_DE,0.0
68,school_state_ME,0.0
65,school_state_LA,0.0
63,school_state_KS,0.0
97,school_state_WY,0.0
