,Features,Importance
0,total_price_including_optional_support,0.5043483396920945
2,eligible_double_your_impact_match_binary,0.0876969094288992
1,students_reached,0.06450097088910975
41,school_metro_rural,0.028752349812647248
5,poverty_level_highest poverty,0.02495787694544872
12,resource_type_Trips,0.018194569903748528
11,resource_type_Technology,0.017770887401175054
43,school_metro_urban,0.01562707908581735
45,teacher_prefix_Mrs.,0.015415400777771386
29,primary_focus_subject_Literacy,0.014291854751984618
22,primary_focus_subject_Environmental Science,0.011320022838552875
87,school_state_SC,0.010030551668343905
14,primary_focus_subject_Applied Sciences,0.009246919222802708
81,school_state_NY,0.008933548511613203
30,primary_focus_subject_Literature & Writing,0.007827065235199965
8,resource_type_Books,0.0073622095941303116
74,school_state_NC,0.006697210291413524
56,school_state_FL,0.005496981043604661
89,school_state_TN,0.005494788753151259
71,school_state_MO,0.005453486267510469
51,school_state_CA,0.0052169978713730416
3,school_charter_binary,0.005032582584096582
61,school_state_IL,0.004901024085266339
42,school_metro_suburban,0.004680171005732041
91,school_state_UT,0.0044529163302089395
44,teacher_prefix_Mr.,0.004410919498660808
4,poverty_level_high poverty,0.004184585442382826
25,primary_focus_subject_Gym & Fitness,0.004137040952718132
17,primary_focus_subject_College & Career Prep,0.004001356629960844
62,school_state_IN,0.003680105939992087
82,school_state_OH,0.0036486079476888613
90,school_state_TX,0.0036211253227017635
65,school_state_LA,0.003609031723461071
9,resource_type_Other,0.003507282606008464
64,school_state_KY,0.00334228090642369
6,poverty_level_low poverty,0.003218073119819827
7,poverty_level_moderate poverty,0.0031972736554353076
31,primary_focus_subject_Mathematics,0.0031252850608089445
66,school_state_MA,0.0029845788256917262
19,primary_focus_subject_ESL,0.002958683180784172
34,primary_focus_subject_Other,0.0027313361586729576
24,primary_focus_subject_Foreign Languages,0.0026795297533339936
38,primary_focus_subject_Special Needs,0.0024058266413330104
50,school_state_AZ,0.002387044493545859
10,resource_type_Supplies,0.0023020146413381616
85,school_state_PA,0.002280950700376861
40,primary_focus_subject_Visual Arts,0.0022777090753758077
20,primary_focus_subject_Early Development,0.0021768305886759906
72,school_state_MS,0.0021652971307483133
92,school_state_VA,0.002138566412778583
28,primary_focus_subject_History & Geography,0.0021065694074679244
36,primary_focus_subject_Performing Arts,0.0021048789692554395
48,school_state_AL,0.0020053400625731346
78,school_state_NJ,0.001835133350253019
32,primary_focus_subject_Music,0.0018268825243627775
26,primary_focus_subject_Health & Life Science,0.001554539017190385
15,primary_focus_subject_Character Education,0.0015125823116454212
57,school_state_GA,0.0014194122159603391
79,school_state_NM,0.0013072433224951422
80,school_state_NV,0.0011692789845456567
58,school_state_HI,0.000977641506305212
95,school_state_WI,0.0009608175714563959
60,school_state_ID,0.0009485129832693537
46,teacher_prefix_Ms.,0.0009210358891585717
23,primary_focus_subject_Extracurricular,0.0008126602210179082
77,school_state_NH,0.0007604527561930679
37,primary_focus_subject_Social Sciences,0.0007533982774811602
21,primary_focus_subject_Economics,0.000674638199708285
83,school_state_OK,0.000580474178790312
67,school_state_MD,0.0005175216245443175
27,primary_focus_subject_Health & Wellness,0.0005129014964985468
35,primary_focus_subject_Parent Involvement,0.0005122788204586485
53,school_state_CT,0.00048150656600583154
88,school_state_SD,0.0004760790821113209
86,school_state_RI,0.0004627029007409524
63,school_state_KS,0.0004549255754358084
75,school_state_ND,0.0004499233297787235
49,school_state_AR,0.0004313605259967764
55,school_state_DE,0.0004258627945972457
97,school_state_WY,0.00016939513428808133
39,primary_focus_subject_Sports,0.0
96,school_state_WV,0.0
13,resource_type_Visitors,0.0
94,school_state_WA,0.0
93,school_state_VT,0.0
16,primary_focus_subject_Civics & Government,0.0
18,primary_focus_subject_Community Service,0.0
33,primary_focus_subject_Nutrition,0.0
76,school_state_NE,0.0
73,school_state_MT,0.0
52,school_state_CO,0.0
54,school_state_DC,0.0
84,school_state_OR,0.0
59,school_state_IA,0.0
68,school_state_ME,0.0
69,school_state_MI,0.0
70,school_state_MN,0.0
47,school_state_AK,0.0
