,model_type,clf,date,parameters,train_set_size,validation_set_size,baseline,precision_at_5,precision_at_10,precision_at_20,precision_at_30,precision_at_40,precision_at_50,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,auc-roc
85,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",May,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",74857,6484,0.3431523750771129,0.6080246913580247,0.5401234567901234,0.5077160493827161,0.4781491002570694,0.4577709217123023,0.44818013571869214,0.08853932584269662,0.15730337078651685,0.2957303370786517,0.41797752808988764,0.5334831460674158,0.6530337078651686,0.6625943738441528
86,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",June,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",80726,9618,0.3018299022665835,0.5770833333333333,0.4869927159209157,0.4544981799271971,0.44298093587521664,0.4260462698206395,0.41131212310251614,0.09541853255253187,0.1612125387530141,0.3010678608336204,0.4402342404409232,0.5645883568722012,0.6813641060971409,0.6713635135963544
87,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",April,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",71211,5736,0.34309623430962344,0.7202797202797203,0.6561954624781849,0.5806451612903226,0.5325581395348837,0.4969485614646905,0.4721059972105997,0.10467479674796748,0.1910569105691057,0.3384146341463415,0.4654471544715447,0.5792682926829268,0.6880081300813008,0.7094765585892324
88,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",May,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",74857,6484,0.3431523750771129,0.6882716049382716,0.6373456790123457,0.5694444444444444,0.5305912596401028,0.49710759737755494,0.4753238741517582,0.1002247191011236,0.1856179775280899,0.33168539325842694,0.4638202247191011,0.5793258426966292,0.6925842696629213,0.708378239339825
89,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",June,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",80726,9618,0.3018299022665835,0.6916666666666667,0.6305931321540063,0.5512220488819553,0.507105719237435,0.4699766051468677,0.4410480349344978,0.11436445056837755,0.20874956941095418,0.36513951085084395,0.503961419221495,0.6228039958663452,0.7306234929383396,0.7308602111098258
90,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",April,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",71211,5736,0.34309623430962344,0.7167832167832168,0.6579406631762653,0.5815170008718396,0.5325581395348837,0.496512641673932,0.4714086471408647,0.10416666666666667,0.1915650406504065,0.3389227642276423,0.4654471544715447,0.578760162601626,0.6869918699186992,0.708964180605182
91,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",May,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",74857,6484,0.3431523750771129,0.6851851851851852,0.6342592592592593,0.5702160493827161,0.5300771208226221,0.49749325106054765,0.4771745835903763,0.0997752808988764,0.18471910112359552,0.3321348314606742,0.4633707865168539,0.5797752808988764,0.6952808988764045,0.7082069695106991
92,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",June,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",80726,9618,0.3018299022665835,0.6958333333333333,0.627471383975026,0.5455018200728029,0.5046793760831889,0.46971666233428644,0.4410480349344978,0.11505339304168102,0.20771615570099897,0.3613503272476748,0.5015501205649329,0.6224595246296935,0.7306234929383396,0.7298551656193595
93,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",April,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",71211,5736,0.34309623430962344,0.7167832167832168,0.6596858638743456,0.5806451612903226,0.5313953488372093,0.496512641673932,0.4700139470013947,0.10416666666666667,0.19207317073170732,0.3384146341463415,0.4644308943089431,0.578760162601626,0.6849593495934959,0.7079862864213833
94,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",May,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",74857,6484,0.3431523750771129,0.6759259259259259,0.6373456790123457,0.5702160493827161,0.5290488431876607,0.49749325106054765,0.47501542257865514,0.09842696629213483,0.1856179775280899,0.3321348314606742,0.46247191011235955,0.5797752808988764,0.6921348314606741,0.7068791798465115
95,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')",June,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",80726,9618,0.3018299022665835,0.6854166666666667,0.6243496357960457,0.5481019240769631,0.5046793760831889,0.4694567195217052,0.4410480349344978,0.11333103685842232,0.20668274199104375,0.3630726834309335,0.5015501205649329,0.6221150533930416,0.7306234929383396,0.729510591785169
96,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",April,"{'max_samples': 10, 'n_estimators': 5}",71211,5736,0.34309623430962344,0.46503496503496505,0.44502617801047123,0.4385353095030514,0.4191860465116279,0.3958151700087184,0.3800557880055788,0.06758130081300813,0.12957317073170732,0.25558943089430897,0.36636178861788615,0.4613821138211382,0.5538617886178862,0.5634586774808831
97,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",May,"{'max_samples': 10, 'n_estimators': 5}",74857,6484,0.3431523750771129,0.30246913580246915,0.3055555555555556,0.3271604938271605,0.31362467866323906,0.32124951793289624,0.3297347316471314,0.04404494382022472,0.08898876404494382,0.190561797752809,0.27415730337078653,0.3743820224719101,0.48044943820224717,0.4809952750421447
98,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",June,"{'max_samples': 10, 'n_estimators': 5}",80726,9618,0.3018299022665835,0.41875,0.4016649323621228,0.390535621424857,0.37677642980935877,0.35066285417208215,0.3424828446662508,0.06923871856699966,0.13296589734757147,0.2586978987254564,0.37444023424044093,0.46469169824319667,0.5673441267654151,0.566521627945928
99,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",April,"{'max_samples': 10, 'n_estimators': 10}",71211,5736,0.34309623430962344,0.3776223776223776,0.3612565445026178,0.36965998256320837,0.3872093023255814,0.3831734960767219,0.38249651324965134,0.054878048780487805,0.10518292682926829,0.21544715447154472,0.3384146341463415,0.44664634146341464,0.5574186991869918,0.5491844431282689
100,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",May,"{'max_samples': 10, 'n_estimators': 10}",74857,6484,0.3431523750771129,0.38271604938271603,0.38117283950617287,0.36496913580246915,0.35989717223650386,0.35672965676822216,0.3504009870450339,0.05573033707865169,0.11101123595505619,0.21258426966292135,0.3146067415730337,0.4157303370786517,0.510561797752809,0.5186675671611473
101,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",June,"{'max_samples': 10, 'n_estimators': 10}",80726,9618,0.3018299022665835,0.38333333333333336,0.3850156087408949,0.33021320852834113,0.32097053726169844,0.3075123472835976,0.29527968392597215,0.06338270754392009,0.12745435756114365,0.21873923527385464,0.31898036513951084,0.4075094729590079,0.4891491560454702,0.4997689503425347
102,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",April,"{'max_samples': 20, 'n_estimators': 5}",71211,5736,0.34309623430962344,0.5034965034965035,0.4851657940663176,0.45684394071490847,0.4308139534883721,0.41586748038360943,0.40097629009762903,0.07317073170731707,0.14126016260162602,0.266260162601626,0.37652439024390244,0.4847560975609756,0.584349593495935,0.5912570205021318
103,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",May,"{'max_samples': 20, 'n_estimators': 5}",74857,6484,0.3431523750771129,0.44753086419753085,0.42746913580246915,0.4236111111111111,0.39794344473007714,0.3891245661396066,0.3756940160394818,0.0651685393258427,0.12449438202247191,0.24674157303370786,0.34786516853932586,0.45348314606741574,0.5474157303370787,0.5478134604578275
104,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",June,"{'max_samples': 20, 'n_estimators': 5}",80726,9618,0.3018299022665835,0.35625,0.3975026014568158,0.4092563702548102,0.3979202772963605,0.3821159344944112,0.363069245165315,0.05890458146744747,0.13158801240096452,0.27109886324491905,0.395452979676197,0.5063727178780572,0.6014467791939373,0.5970930782826915
105,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",April,"{'max_samples': 20, 'n_estimators': 10}",71211,5736,0.34309623430962344,0.5209790209790209,0.5130890052356021,0.4891020052310375,0.47267441860465115,0.44812554489973844,0.4246861924686193,0.07571138211382114,0.14939024390243902,0.2850609756097561,0.41310975609756095,0.5223577235772358,0.6189024390243902,0.6092321221281479
106,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",May,"{'max_samples': 20, 'n_estimators': 10}",74857,6484,0.3431523750771129,0.41975308641975306,0.42746913580246915,0.408179012345679,0.4154241645244216,0.40339375241033554,0.40623072177668107,0.06112359550561798,0.12449438202247191,0.23775280898876405,0.36314606741573036,0.4701123595505618,0.5919101123595506,0.5779575835441669
107,BAG,"BaggingClassifier(base_estimator=None, bootstrap=True,
         bootstrap_features=False, max_features=1.0, max_samples=20,
         n_estimators=10, n_jobs=None, oob_score=False, random_state=None,
         verbose=0, warm_start=False)",June,"{'max_samples': 20, 'n_estimators': 10}",80726,9618,0.3018299022665835,0.3375,0.3590010405827263,0.3733749349973999,0.3681109185441941,0.36599948011437483,0.3508005822416303,0.05580434033758181,0.11884257664485015,0.24733034791594902,0.36582845332414743,0.48501550120564935,0.5811229762314847,0.5718115570484636
108,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",April,"{'metric': 'euclidean', 'n_neighbors': 5}",71211,5736,0.34309623430962344,0.8706293706293706,0.794066317626527,0.7332170880557978,0.6412790697674419,0.5924149956408021,0.546373779637378,0.12652439024390244,0.23119918699186992,0.4273373983739837,0.5604674796747967,0.6905487804878049,0.796239837398374,0.8110163356808727
109,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",May,"{'metric': 'euclidean', 'n_neighbors': 5}",74857,6484,0.3431523750771129,0.8672839506172839,0.7777777777777778,0.7175925925925926,0.6241645244215939,0.5861935981488623,0.5471930906847625,0.12629213483146068,0.22651685393258428,0.41797752808988764,0.5456179775280899,0.6831460674157304,0.7973033707865168,0.8038083002023474
110,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",June,"{'metric': 'euclidean', 'n_neighbors': 5}",80726,9618,0.3018299022665835,0.8604166666666667,0.72840790842872,0.656266250650026,0.5767764298093587,0.5378216792305692,0.4940736119775421,0.14226662073716845,0.24112986565621772,0.43472270065449536,0.5732001377884947,0.7127109886324492,0.8184636582845333,0.806720446586567
111,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",April,"{'metric': 'euclidean', 'n_neighbors': 50}",71211,5736,0.34309623430962344,0.5769230769230769,0.5846422338568935,0.5387968613775065,0.5133720930232558,0.488666085440279,0.46582984658298465,0.08384146341463415,0.17022357723577236,0.31402439024390244,0.4486788617886179,0.5696138211382114,0.6788617886178862,0.6862698613053009
112,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",May,"{'metric': 'euclidean', 'n_neighbors': 50}",74857,6484,0.3431523750771129,0.5740740740740741,0.566358024691358,0.5308641975308642,0.5017994858611825,0.4820671037408407,0.46144355336212217,0.08359550561797753,0.1649438202247191,0.3092134831460674,0.43865168539325844,0.5617977528089888,0.6723595505617977,0.6794590701515101
113,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",June,"{'metric': 'euclidean', 'n_neighbors': 50}",80726,9618,0.3018299022665835,0.5479166666666667,0.5494276795005203,0.4966198647945918,0.45753899480069327,0.43748375357421365,0.4163027656477438,0.09059593523940751,0.1818808129521185,0.3289700310024113,0.4547020323802963,0.5797450912848777,0.6896314157767827,0.6852195164116306
114,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",April,"{'metric': 'minkowski', 'n_neighbors': 5}",71211,5736,0.34309623430962344,0.8706293706293706,0.794066317626527,0.7332170880557978,0.6412790697674419,0.5924149956408021,0.546373779637378,0.12652439024390244,0.23119918699186992,0.4273373983739837,0.5604674796747967,0.6905487804878049,0.796239837398374,0.8110163356808727
115,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",May,"{'metric': 'minkowski', 'n_neighbors': 5}",74857,6484,0.3431523750771129,0.8672839506172839,0.7777777777777778,0.7175925925925926,0.6241645244215939,0.5861935981488623,0.5471930906847625,0.12629213483146068,0.22651685393258428,0.41797752808988764,0.5456179775280899,0.6831460674157304,0.7973033707865168,0.8038083002023474
116,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",June,"{'metric': 'minkowski', 'n_neighbors': 5}",80726,9618,0.3018299022665835,0.8604166666666667,0.72840790842872,0.656266250650026,0.5767764298093587,0.5378216792305692,0.4940736119775421,0.14226662073716845,0.24112986565621772,0.43472270065449536,0.5732001377884947,0.7127109886324492,0.8184636582845333,0.806720446586567
117,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",April,"{'metric': 'minkowski', 'n_neighbors': 50}",71211,5736,0.34309623430962344,0.5769230769230769,0.5846422338568935,0.5387968613775065,0.5133720930232558,0.488666085440279,0.46582984658298465,0.08384146341463415,0.17022357723577236,0.31402439024390244,0.4486788617886179,0.5696138211382114,0.6788617886178862,0.6862698613053009
118,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",May,"{'metric': 'minkowski', 'n_neighbors': 50}",74857,6484,0.3431523750771129,0.5740740740740741,0.566358024691358,0.5308641975308642,0.5017994858611825,0.4820671037408407,0.46144355336212217,0.08359550561797753,0.1649438202247191,0.3092134831460674,0.43865168539325844,0.5617977528089888,0.6723595505617977,0.6794590701515101
119,KNN,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=None, n_neighbors=50, p=2,
           weights='uniform')",June,"{'metric': 'minkowski', 'n_neighbors': 50}",80726,9618,0.3018299022665835,0.5479166666666667,0.5494276795005203,0.4966198647945918,0.45753899480069327,0.43748375357421365,0.4163027656477438,0.09059593523940751,0.1818808129521185,0.3289700310024113,0.4547020323802963,0.5797450912848777,0.6896314157767827,0.6852195164116306
120,GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=50,
              n_iter_no_change=None, presort='auto', random_state=None,
              subsample=1.0, tol=0.0001, validation_fraction=0.1,
              verbose=0, warm_start=False)",April,"{'max_depth': 5, 'n_estimators': 10}",71211,5736,0.34309623430962344,0.6748251748251748,0.6195462478184991,0.5571054925893636,0.5081395348837209,0.4838709677419355,0.46269177126917715,0.09806910569105691,0.18038617886178862,0.3246951219512195,0.44410569105691056,0.5640243902439024,0.6742886178861789,0.6865647196977542
121,GB,"GradientBoostingClassifier(criterion='friedman_mse', init=None,
              learning_rate=0.1, loss='deviance', max_depth=10,
              max_features=None, max_leaf_nodes=None,
              min_impurity_decrease=0.0, min_impurity_split=None,
              min_samples_leaf=1, min_samples_split=2,
              min_weight_fraction_leaf=0.0, n_estimators=50,
              n_iter_no_change=None, presort='auto', random_state=None,
              subsample=1.0, tol=0.0001, validation_fraction=0.1,
              verbose=0, warm_start=False)",May,"{'max_depth': 5, 'n_estimators': 10}",74857,6484,0.3431523750771129,0.6790123456790124,0.6203703703703703,0.5501543209876543,0.4987146529562982,0.4751253374469726,0.4574336829117828,0.09887640449438202,0.18067415730337077,0.3204494382022472,0.43595505617977526,0.5537078651685393,0.6665168539325843,0.6812265367984783
